IID,Mat_Line,Drought_sev,Drought_len,Type,,,
653,NSW1079715,High,60,Sample,,,
654,NSW1079715,High,60,Sample,,,
655,NSW1079715,High,60,Sample,,,
656,NSW1079715,High,60,Sample,,,
657,NSW1079715,High,60,Sample,,,
658,NSW1079715,High,60,Sample,,,
659,NSW1079715,High,60,Destructive,,,
660,NSW1079715,High,60,Destructive,,,
661,NSW1079715,Low,NA,Backup,,,
662,NSW1079715,Low,NA,Backup,,,
663,NSW1079715,Low,NA,Backup,,,
664,NSW1079715,Low,NA,Backup,,,
665,NSW1079715,Low,NA,Backup,,,
666,NSW1079715,Mid,NA,Backup,,,
667,NSW1079715,Mid,NA,Backup,,,
668,NSW1079715,Mid,NA,Backup,,,
669,NSW1079715,Mid,NA,Backup,,,
670,NSW1079715,Mid,NA,Backup,,,
671,NSW1079715,High,NA,Backup,,,
672,NSW1079715,High,NA,Backup,,,
673,NSW1079715,High,NA,Backup,,,
674,NSW1079715,High,NA,Backup,,,
675,NSW1079715,High,NA,Backup,,,
676,NSW1078641,Low,30,Sample,,,
677,NSW1078641,Low,30,Sample,,,
678,NSW1078641,Low,30,Sample,,,
679,NSW1078641,Low,30,Sample,,,
680,NSW1078641,Low,30,Sample,,,
681,NSW1078641,Low,30,Sample,,,
682,NSW1078641,Low,30,Sample,,,
683,NSW1078641,Low,30,Sample,,,
684,NSW1078641,Low,30,Destructive,,,
685,NSW1078641,Low,30,Destructive,,,
686,NSW1078641,Low,60,Sample,,,
687,NSW1078641,Low,60,Sample,,,
688,NSW1078641,Low,60,Sample,,,
689,NSW1078641,Low,60,Sample,,,
690,NSW1078641,Low,60,Sample,,,
691,NSW1078641,Low,60,Sample,,,
692,NSW1078641,Low,60,Sample,,,
693,NSW1078641,Low,60,Sample,,,
694,NSW1078641,Low,60,Destructive,,,
695,NSW1078641,Low,60,Destructive,,,
696,NSW1078641,Mid,30,Sample,,,
697,NSW1078641,Mid,30,Sample,,,
698,NSW1078641,Mid,30,Sample,,,
699,NSW1078641,Mid,30,Sample,,,
700,NSW1078641,Mid,30,Sample,,,
701,NSW1078641,Mid,30,Sample,,,
702,NSW1078641,Mid,30,Sample,,,
703,NSW1078641,Mid,30,Sample,,,
704,NSW1078641,Mid,30,Destructive,,,
705,NSW1078641,Mid,30,Destructive,,,
706,NSW1078641,Mid,60,Sample,,,
707,NSW1078641,Mid,60,Sample,,,
708,NSW1078641,Mid,60,Sample,,,
709,NSW1078641,Mid,60,Sample,,,
710,NSW1078641,Mid,60,Sample,,,
711,NSW1078641,Mid,60,Sample,,,
712,NSW1078641,Mid,60,Sample,,,
713,NSW1078641,Mid,60,Sample,,,
714,NSW1078641,Mid,60,Destructive,,,
715,NSW1078641,Mid,60,Destructive,,,
716,NSW1078641,High,30,Sample,,,
717,NSW1078641,High,30,Sample,,,
718,NSW1078641,High,30,Sample,,,
719,NSW1078641,High,30,Sample,,,
720,NSW1078641,High,30,Sample,,,
721,NSW1078641,High,30,Sample,,,
722,NSW1078641,High,30,Sample,,,
723,NSW1078641,High,30,Sample,,,
724,NSW1078641,High,30,Destructive,,,
725,NSW1078641,High,30,Destructive,,,
726,NSW1078641,High,60,Sample,,,
727,NSW1078641,High,60,Sample,,,
728,NSW1078641,High,60,Sample,,,
729,NSW1078641,High,60,Sample,,,
730,NSW1078641,High,60,Sample,,,
731,NSW1078641,High,60,Sample,,,
732,NSW1078641,High,60,Sample,,,
733,NSW1078641,High,60,Sample,,,
734,NSW1078641,High,60,Destructive,,,
735,NSW1078641,High,60,Destructive,,,
736,NSW1078641,Low,NA,Backup,,,
737,NSW1078641,Low,NA,Backup,,,
738,NSW1078641,Low,NA,Backup,,,
739,NSW1078641,Low,NA,Backup,,,
740,NSW1078641,Low,NA,Backup,,,
741,NSW1078641,Mid,NA,Backup,,,
742,NSW1078641,Mid,NA,Backup,,,
743,NSW1078641,Mid,NA,Backup,,,
744,NSW1078641,Mid,NA,Backup,,,
745,NSW1078641,Mid,NA,Backup,,,
746,NSW1078641,High,NA,Backup,,,
747,NSW1078641,High,NA,Backup,,,
748,NSW1078641,High,NA,Backup,,,
749,NSW1078641,High,NA,Backup,,,
750,NSW1078641,High,NA,Backup,,,
