"IID","COI_Scores_Inoc1","Drought_len","COI_Scores_Inoc2","Difference","Mat_Line","Drought_sev","block_num","block_cell1","block_cell2","Type","...9","ID","Porometer_15D","Porometer_30D","Day 30 Inoculation","Missing?","Archive if changed","Status","Inoculation date_1_3/2/25","Inoculation date_2_17/3/25","Inoculation date_3_3/3/25","Inoculated?"
498,1.25,30,10,8.75,"NSW1079692","High","16_as",31,"NA","Sample",NA,"498_692_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
513,1.25,30,0,-1.25,"NSW1079692","Low","159_an",56,"38",NA,NA,"513_692_L","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
516,1.25,30,0,-1.25,"NSW1079692","Moderate","151_the",55,"34",NA,NA,"516_692_M","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
518,1.25,30,0,-1.25,"NSW1079692","Moderate","151_the",55,"34",NA,NA,"518_692_M","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
527,1.25,30,0,-1.25,"NSW1078653","Low","8_he",5,"NA","Sample",NA,"527_653_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
530,2.5,30,0,-2.5,"NSW1078653","Low","8_he",5,"NA","Sample",NA,"530_653_L","Y","Y",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
531,1.25,30,0,-1.25,"NSW1078653","Low","19_forces",37,"NA","Sample",NA,"531_653_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
533,0.25,30,0,-0.25,"NSW1078653","Low","12_realizes",49,"NA","Sample",NA,"533_653_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
534,1.25,30,1.25,0,"NSW1078653","Low","23_she",40,"NA","Destructive",NA,"534_653_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
567,1.25,30,1.25,0,"NSW1078653","High","6_away",2,"NA","Sample",NA,"567_653_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
572,1.25,30,0,-1.25,"NSW1078653","High","3_then",11,"NA","Sample",NA,"572_653_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
574,1.25,30,0,-1.25,"NSW1078653","High","13_Mr.",47,"NA","Destructive",NA,"574_653_H","Y","Y",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
596,1.25,30,0,-1.25,"NSW1078647","High","151_the",55,"34",NA,NA,"596_647_H","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
608,1.25,30,1.25,0,"NSW1079715","Low","20_by",26,"NA","Sample",NA,"608_715_L","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
627,1.25,30,2.5,1.25,"NSW1079715","Moderate","25_forced",23,"NA","Sample",NA,"627_715_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
664,1.25,30,0,-1.25,"NSW1079715","Low","162_realizes",53,"29",NA,NA,"664_715_L","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
696,1.25,30,2.5,1.25,"NSW1078641","Moderate","19_forces",37,"NA","Sample",NA,"696_641_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
698,1.25,30,0,-1.25,"NSW1078641","Moderate","1_the",19,"NA","Sample",NA,"698_641_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
702,1.25,30,0,-1.25,"NSW1078641","Moderate","8_he",5,"NA","Sample",NA,"702_641_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
718,0.25,30,0,-0.25,"NSW1078641","High","15_of",34,"NA","Sample",NA,"718_641_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
723,2.5,30,1.25,-1.25,"NSW1078641","High","11_novel",46,"NA","Sample",NA,"723_641_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
724,1.25,30,0,-1.25,"NSW1078641","High","12_realizes",49,"NA","Destructive",NA,"724_641_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
743,0.25,30,1.25,1,"NSW1078641","Moderate","152_Harry",60,"28",NA,NA,"743_641_M","Y","Y",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
171,8.75,30,50,41.25,"NSW1079701","Moderate","14_depicts",14,"NA","Sample",NA,"171_701_M","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
349,8.75,30,40,31.25,"NSW1078656","High","4_has",32,"NA","Destructive",NA,"349_656_H","N","N",NA,NA,NA,NA,"D30","D30_Inoc2",NA,"Y"
367,0.875,30,17.5,16.625,"NSW1078656","Moderate","161_novel",62,"26",NA,NA,"367_656_M","N","N",NA,NA,"Used to be ""Backup""",NA,"D30","D30_Inoc2",NA,"Y"
648,4.375,30,70,65.625,"NSW1079715","High","2_Harry",16,"NA","Sample",NA,"648_715_H","Y","N",NA,NA,NA,"Top 20 cm (2/3) of plant had no leaves","D30","D30_Inoc2",NA,"Y"
658,15,60,78.75,63.75,"NSW1079715","High","65_of",17,"9","Sample",NA,"658_715_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
74,5,60,50,45,"NSW1079717","High","155_paying",58,"31",NA,NA,"74_717_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
140,20,60,70,50,"NSW1079714","Low","159_an",56,"38",NA,NA,"140_714_L","Y","Y",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
340,10,60,5,-5,"NSW1078656","Moderate","61_novel",15,"11","Destructive",NA,"340_656_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
315,20,60,60,40,"NSW1078656","Low","69_forces",35,"15","Sample",NA,"315_656_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
353,50,60,65.625,15.625,"NSW1078656","High","57_initially",24,"1","Sample",NA,"353_656_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
613,5,60,7.5,2.5,"NSW1079715","Low","54_has",6,"7","Sample",NA,"613_715_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
238,50,60,70,20,"NSW1079677","Low","70_by",9,"6","Sample",NA,"238_677_L","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
392,5,60,25,20,"NSW1078647","Low","74_mainland",45,"23","Sample",NA,"392_647_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
620,25,60,56.25,31.25,"NSW1079715","Low","56_away",21,"2","Destructive",NA,"620_715_L","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
435,7.5,60,35,27.5,"NSW1078647","High","67_before",20,"16","Destructive",NA,"435_647_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
508,2.5,60,17.5,15,"NSW1079692","High","56_away",21,"2","Sample",NA,"508_692_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
426,2.5,60,26.25,23.75,"NSW1078647","High","62_realizes",44,"12","Sample",NA,"426_647_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
514,10,60,2.5,-7.5,"NSW1079692","Low","153_then",63,"37",NA,NA,"514_692_L","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
332,2.5,60,17.5,15,"NSW1078656","Moderate","69_forces",35,"15","Sample",NA,"332_656_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
339,5,60,75,70,"NSW1078656","Moderate","70_by",9,"6","Destructive",NA,"339_656_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
37,5,60,61.25,56.25,"NSW1079717","Moderate","52_Harry",13,"14","Sample",NA,"37_717_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
62,15,60,18.75,3.75,"NSW1079717","Low","152_Harry",60,"28",NA,NA,"62_717_L","Y","Y",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
130,7.5,60,65.625,58.125,"NSW1079714","High","70_by",9,"6","Sample",NA,"130_714_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
135,2.5,60,0,-2.5,"NSW1079714","High","71_money",1,"17","Destructive",NA,"135_714_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
142,12.5,60,33.75,21.25,"NSW1078641","Low","151_the",55,"34",NA,NA,"142_641_L","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
146,5,60,1.25,-3.75,"NSW1078641","High","158_he",57,"33",NA,NA,"146_641_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
149,5,60,7.5,2.5,"NSW1079714","High","153_then",63,"37",NA,NA,"149_714_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
239,12.5,60,18.75,6.25,"NSW1079677","Low","65_of",17,"9","Sample",NA,"239_677_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
243,2.5,60,30,27.5,"NSW1079677","Low","70_by",9,"6","Sample",NA,"243_677_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
336,2.5,60,5,2.5,"NSW1078656","Moderate","54_has",6,"7","Sample",NA,"336_656_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
372,5,60,7.5,2.5,"NSW1078653","High","151_the",55,"34",NA,NA,"372_653_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
388,5,60,40,35,"NSW1078647","Low","69_forces",35,"15","Sample",NA,"388_647_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
389,2.5,60,5,2.5,"NSW1078647","Low","53_then",8,"24","Sample",NA,"389_647_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
406,12.5,60,37.5,25,"NSW1078647","Moderate","73_she",10,"10","Sample",NA,"406_647_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
484,5,60,1.25,-3.75,"NSW1079692","Moderate","52_Harry",13,"14","Sample",NA,"484_692_M","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
667,5,60,0,-5,"NSW1079677","Moderate","157_initially",54,"32",NA,NA,"667_677_M","Y","Y",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
740,2.5,60,5,2.5,"NSW1079692","High","157_initially",54,"32",NA,NA,"740_692_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
32,2.5,60,7.5,5,"NSW1079717","Moderate","56_away",21,"2","Sample",NA,"32_717_M","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
56,7.5,60,39.375,31.875,"NSW1079717","High","69_forces",35,"15","Sample",NA,"56_717_H","N","N",NA,NA,NA,"Unhappy",NA,NA,"D60","Y"
95,2.5,60,15,12.5,"NSW1079714","Low","73_she",10,"10","Destructive",NA,"95_714_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
190,20,60,78.75,58.75,"NSW1079701","Moderate","63_Mr.",4,"25","Destructive",NA,"190_701_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
210,2.5,60,15,12.5,"NSW1079701","High","70_by",9,"6","Destructive",NA,"210_701_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
220,5,60,60,55,"NSW1079701","Moderate","159_an",56,"38",NA,NA,"220_701_M","Y","Y",NA,NA,"Used to be ""Backup""","bottom 23cm had no leaves",NA,NA,"D60","Y"
285,2.5,60,35,32.5,"NSW1079677","High","62_realizes",44,"12","Destructive",NA,"285_677_H","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
286,15,60,78.75,63.75,"NSW1079677","Low","73_she",10,"10","Sample","BACKUPREPL","286_677_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
386,7.5,60,37.5,30,"NSW1078647","Low","63_Mr.",4,"25","Sample",NA,"386_647_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
390,5,60,17.5,12.5,"NSW1078647","Low","55_paying",7,"5","Sample",NA,"390_647_L","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
391,5,60,43.75,38.75,"NSW1078647","Low","63_Mr.",4,"25","Sample",NA,"391_647_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
414,2.5,60,43.75,41.25,"NSW1078647","Moderate","57_initially",24,"1","Destructive",NA,"414_647_M","Y","Y",NA,NA,NA,NA,NA,NA,"D60","Y"
617,5,60,70,65,"NSW1079715","Low","57_initially",24,"1","Sample",NA,"617_715_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
633,20,60,25,5,"NSW1079715","Moderate","64_depicts",28,"4","Sample",NA,"633_715_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
637,5,60,12.5,7.5,"NSW1079715","Moderate","73_she",10,"10","Sample",NA,"637_715_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
72,2.5,60,21.875,19.375,"NSW1078647","High","154_has",51,"35",NA,NA,"72_647_H","N","N",NA,NA,"Used to be ""Backup""",NA,NA,"D30_Inoc2","D60","Y"
316,7.5,60,15,7.5,"NSW1078656","Low","57_initially",24,"1","Sample",NA,"316_656_L","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
218,2.5,60,30,27.5,"NSW1079701","Moderate","152_Harry",60,"28",NA,NA,"218_701_M","Y","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
408,7.5,60,11.25,3.75,"NSW1078647","Moderate","64_depicts",28,"4","Sample",NA,"408_647_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
438,5,60,35,30,"NSW1078647","Low","155_paying",58,"31",NA,NA,"438_647_L","N","N",NA,NA,"Used to be ""Backup""",NA,NA,NA,"D60","Y"
487,25,60,0,-25,"NSW1079692","Moderate","73_she",10,"10","Sample",NA,"487_692_M","N","N",NA,NA,NA,NA,NA,NA,"D60","Y"
